2theta	Intensity
4.99238547885	2163
5.007711520995	2151
5.02303756314	2130
5.038363605285	1995
5.05368964743	2208
5.069015689575	2164
5.08434173172	2057
5.099667773865	1938
5.11499381601	1992
5.130319858155	2100
5.1456459003	1994
5.160971942445	2011
5.17629798459	2131
5.191624026735	2050
5.20695006888	1964
5.222276111025	1988
5.23760215317	1935
5.252928195315	2007
5.26825423746	2043
5.283580279605	1951
5.29890632175	2045
5.314232363895	1901
5.32955840604	1975
5.344884448185	1905
5.36021049033	1961
5.375536532475	2024
5.39086257462	1947
5.406188616765	1886
5.42151465891	1940
5.436840701055	1847
5.4521667432	1883
5.467492785345	1902
5.48281882749	1874
5.498144869635	1926
5.51347091178	1878
5.528796953925	1893
5.54412299607	1849
5.559449038215	1886
5.57477508036	1820
5.590101122505	1916
5.60542716465	1927
5.620753206795	1873
5.63607924894	1856
5.651405291085	1826
5.66673133323	1935
5.682057375375	1849
5.69738341752	1788
5.712709459665	1750
5.72803550181	1835
5.743361543955	1832
5.7586875861	1749
5.774013628245	1761
5.78933967039	1799
5.804665712535	1810
5.81999175468	1748
5.835317796825	1832
5.85064383897	1906
5.865969881115	1807
5.88129592326	1872
5.896621965405	1823
5.91194800755	1818
5.927274049695	1824
5.94260009184	1886
5.957926133985	1862
5.97325217613	1839
5.988578218275	1855
6.00390426042	1902
6.019230302565	1873
6.03455634471	1962
6.049882386855	1810
6.065208429	1977
6.080534471145	1955
6.09586051329	1907
6.111186555435	2046
6.12651259758	1968
6.141838639725	2077
6.15716468187	2066
6.172490724015	2010
6.18781676616	2060
6.203142808305	2064
6.21846885045	2109
6.233794892595	2058
6.24912093474	1980
6.264446976885	1934
6.27977301903	1866
6.295099061175	1882
6.31042510332	1844
6.325751145465	1872
6.34107718761	1820
6.356403229755	1823
6.3717292719	1803
6.387055314045	1782
6.40238135619	1735
6.417707398335	1774
6.43303344048	1805
6.448359482625	1697
6.46368552477	1741
6.479011566915	1736
6.49433760906	1691
6.509663651205	1709
6.52498969335	1673
6.540315735495	1697
6.55564177764	1686
6.570967819785	1644
6.58629386193	1660
6.601619904075	1779
6.61694594622	1654
6.632271988365	1596
6.64759803051	1610
6.662924072655	1642
6.6782501148	1615
6.693576156945	1584
6.70890219909	1629
6.724228241235	1606
6.73955428338	1621
6.754880325525	1696
6.77020636767	1621
6.785532409815	1607
6.80085845196	1583
6.816184494105	1612
6.83151053625	1576
6.846836578395	1638
6.86216262054	1596
6.877488662685	1635
6.89281470483	1629
6.908140746975	1562
6.92346678912	1635
6.938792831265	1678
6.95411887341	1574
6.969444915555	1625
6.9847709577	1595
7.000096999845	1626
7.01542304199	1678
7.030749084135	1582
7.04607512628	1621
7.061401168425	1581
7.07672721057	1659
7.092053252715	1503
7.10737929486	1613
7.122705337005	1544
7.13803137915	1599
7.153357421295	1587
7.16868346344	1704
7.184009505585	1617
7.19933554773	1644
7.214661589875	1586
7.22998763202	1630
7.245313674165	1599
7.26063971631	1622
7.275965758455	1715
7.2912918006	1644
7.306617842745	1674
7.32194388489	1609
7.337269927035	1671
7.35259596918	1639
7.367922011325	1664
7.38324805347	1660
7.398574095615	1645
7.41390013776	1633
7.429226179905	1723
7.44455222205	1681
7.459878264195	1731
7.47520430634	1688
7.490530348485	1599
7.50585639063	1717
7.521182432775	1610
7.53650847492	1635
7.551834517065	1728
7.56716055921	1666
7.582486601355	1710
7.5978126435	1789
7.613138685645	1752
7.62846472779	1792
7.643790769935	1756
7.65911681208	1720
7.674442854225	1718
7.68976889637	1729
7.705094938515	1798
7.72042098066	1742
7.735747022805	1779
7.75107306495	1803
7.766399107095	1796
7.78172514924	1820
7.797051191385	1806
7.81237723353	1789
7.827703275675	1864
7.84302931782	1850
7.858355359965	1822
7.87368140211	1870
7.889007444255	1876
7.9043334864	1886
7.919659528545	1788
7.93498557069	1811
7.950311612835	1872
7.96563765498	1804
7.980963697125	1839
7.99628973927	2008
8.011615781415	1932
8.02694182356	1873
8.042267865705	1919
8.05759390785	1989
8.072919949995	1984
8.08824599214	1979
8.103572034285	2016
8.11889807643	2104
8.134224118575	2026
8.14955016072	2051
8.164876202865	2032
8.18020224501	1985
8.195528287155	2185
8.2108543293	2122
8.226180371445	2156
8.24150641359	2142
8.256832455735	2280
8.27215849788	2280
8.287484540025	2336
8.30281058217	2289
8.318136624315	2325
8.33346266646	2378
8.348788708605	2318
8.36411475075	2417
8.379440792895	2310
8.39476683504	2479
8.410092877185	2496
8.42541891933	2607
8.440744961475	2641
8.45607100362	2613
8.471397045765	2720
8.48672308791	2755
8.502049130055	2719
8.5173751722	2844
8.532701214345	2818
8.54802725649	2875
8.563353298635	2994
8.57867934078	3059
8.594005382925	3077
8.60933142507	3271
8.624657467215	3338
8.63998350936	3355
8.655309551505	3396
8.67063559365	3523
8.685961635795	3560
8.70128767794	3742
8.716613720085	3926
8.73193976223	3997
8.747265804375	4042
8.76259184652	4077
8.777917888665	4184
8.79324393081	4433
8.808569972955	4470
8.8238960151	4345
8.839222057245	4367
8.85454809939	4159
8.869874141535	3821
8.88520018368	3459
8.900526225825	3164
8.91585226797	2947
8.931178310115	2765
8.94650435226	2551
8.961830394405	2476
8.97715643655	2379
8.992482478695	2287
9.00780852084	2068
9.023134562985	1998
9.03846060513	2035
9.053786647275	1941
9.06911268942	1887
9.084438731565	1769
9.09976477371	1663
9.115090815855	1667
9.130416858	1610
9.145742900145	1540
9.16106894229	1516
9.176394984435	1455
9.19172102658	1417
9.207047068725	1397
9.22237311087	1324
9.237699153015	1303
9.25302519516	1267
9.268351237305	1257
9.28367727945	1213
9.299003321595	1230
9.31432936374	1186
9.329655405885	1164
9.34498144803	1211
9.360307490175	1157
9.37563353232	1090
9.390959574465	1078
9.40628561661	1064
9.421611658755	1001
9.4369377009	976
9.452263743045	1020
9.46758978519	1104
9.482915827335	1054
9.49824186948	1005
9.513567911625	973
9.52889395377	979
9.544219995915	942
9.55954603806	931
9.574872080205	954
9.59019812235	888
9.605524164495	946
9.62085020664	897
9.636176248785	891
9.65150229093	845
9.666828333075	856
9.68215437522	861
9.697480417365	899
9.71280645951	939
9.728132501655	884
9.7434585438	921
9.758784585945	888
9.77411062809	836
9.789436670235	840
9.80476271238	898
9.820088754525	860
9.83541479667	815
9.850740838815	829
9.86606688096	820
9.881392923105	840
9.89671896525	789
9.912045007395	759
9.92737104954	789
9.942697091685	835
9.95802313383	778
9.973349175975	783
9.98867521812	736
10.004001260265	782
10.01932730241	739
10.034653344555	774
10.0499793867	772
10.065305428845	782
10.08063147099	765
10.095957513135	801
10.11128355528	743
10.126609597425	695
10.14193563957	786
10.157261681715	803
10.17258772386	822
10.187913766005	794
10.20323980815	746
10.218565850295	764
10.23389189244	753
10.249217934585	810
10.26454397673	795
10.279870018875	744
10.29519606102	767
10.310522103165	770
10.32584814531	805
10.341174187455	823
10.3565002296	842
10.371826271745	825
10.38715231389	862
10.402478356035	979
10.41780439818	1018
10.433130440325	1049
10.44845648247	1084
10.463782524615	1042
10.47910856676	1025
10.494434608905	978
10.50976065105	894
10.525086693195	843
